,action_id,start,end,DialsPrime_start,DialsPrime_end,TransferPrime_start,TransferPrime_end,TransferPrime_bytes_transferred,total_bytes_transferred,TransferPrime_action_time,funcx_task_ids,flow_runtime,DialsPrime_runtime,TransferPrime_runtime,total_funcx_time
0,f33dd895-ffe1-48f5-9035-119203b390b7,1648528645.0042691,1648528848.04,1648528645.635,1648528708.457,1648528708.479,1648528848.04,186628,186628,87.0,['861f0c66-d39e-435b-bc38-ff48b1b6a5b5'],203.03573083877563,62.82200002670288,139.5609998703003,62.82200002670288
1,b1e0c114-e462-4793-909e-0df41750b662,1648528646.4276521,1648528976.704,1648528646.707,1648528713.448,1648528713.461,1648528976.704,665852,665852,205.0,['8a896ff7-fc7a-4641-8fa2-3eecc744afb7'],330.2763478755951,66.7409999370575,263.2430000305176,66.7409999370575
2,a3094b13-4f8f-43f6-aa29-7d2361be6bb1,1648528647.806283,1648528980.649,1648528648.0540001,1648528713.631,1648528713.645,1648528980.649,8310084,8310084,152.0,['919fcca4-0065-49ef-bc18-a8669f4d6ea9'],332.84271693229675,65.57699990272522,267.0039999485016,65.57699990272522
3,d2324606-5577-4ace-b0fa-b1e85a909345,1648528997.529197,1648529269.775,1648528998.2,1648529006.803,1648529006.812,1648529269.775,32004268,32004268,176.0,['8c4b3a35-20b9-4ccc-bba7-ea9b6094eae6'],272.2458031177521,8.602999925613403,262.9630000591278,8.602999925613403
4,6ad61bcd-158f-45f8-83b2-155b56dd931f,1648529184.25217,1648529274.0259998,1648529184.515,1648529200.893,1648529200.901,1648529274.0259998,47535320,47535320,59.0,['b2774886-72cd-4452-a3ef-53d8a127a1d3'],89.77382969856262,16.377999782562256,73.12499976158142,16.377999782562256
5,fed485b7-650e-4cef-a5cd-b22836519818,1648529212.750907,1648529326.118,1648529213.0249999,1648529256.9689999,1648529256.979,1648529326.118,13660701,13660701,35.0,['88dfdd92-ed56-4981-a990-25f377598fc2'],113.36709308624268,43.944000005722046,69.13899993896484,43.944000005722046
6,73c60e5c-b279-4fc8-b60a-abd7d54ab6fe,1648529226.3749812,1648529506.7900002,1648529226.703,1648529244.733,1648529244.742,1648529506.7900002,2209589,2209589,236.0,['871322eb-899f-47c2-8fed-5f4dfe36fa31'],280.41501903533936,18.02999997138977,262.0480000972748,18.02999997138977
7,013a40ec-65f6-4304-ad77-75a08396c479,1648529386.899842,1648529504.615,1648529387.1699998,1648529435.8179998,1648529435.831,1648529504.615,45842300,45842300,66.0,['3bf2d6a9-1093-4328-a863-fee20f53ad5d'],117.71515798568726,48.64800000190735,68.78399991989136,48.64800000190735
8,262b7ee3-f3c0-4048-bed9-a22d8cebbe8b,1648530285.6069179,1648530430.6,1648530285.876,1648530293.3209999,1648530293.329,1648530430.6,167444244,167444244,86.0,['dc935fcf-4a2e-4572-afac-b687ffa60a07'],144.9930820465088,7.444999933242798,137.27099990844727,7.444999933242798
9,7a7317b2-2ba9-42b9-bb07-463d06852e46,1648530298.895574,1648531342.732,1648530299.129,1648530309.705,1648530309.714,1648531342.732,0,0,983.0,['f5a477f9-a82c-4df7-be44-15c85a6be70d'],1043.8364260196686,10.575999975204468,1033.018000125885,10.575999975204468
10,42a8fce8-b17e-41c4-a4ef-a16aeded965c,1648530372.422025,1648530651.2150002,1648530372.6929998,1648530387.2849998,1648530387.296,1648530651.2150002,5954291,5954291,186.0,['2e29b0f9-e2ef-48a8-9df8-764d3d92f068'],278.79297518730164,14.592000007629395,263.9190001487732,14.592000007629395
11,ea11daf0-3d32-46ec-aaa2-835a7bc92537,1648530377.7001758,1648531443.131,1648530378.0140002,1648530406.183,1648530406.1929998,1648531443.131,0,0,782.0,['9a1053d0-a6a6-49a1-82de-6f576b001b0e'],1065.4308242797852,28.168999910354614,1036.938000202179,28.168999910354614
12,a48b6d86-0438-409d-a634-442eed4d0a45,1648530391.89271,1648530488.2380002,1648530392.2700002,1648530417.0609999,1648530417.0700002,1648530488.2380002,46527309,46527309,39.0,['7d396143-a199-4466-b090-8cad53f0e5c6'],96.345290184021,24.7909996509552,71.16799998283386,24.7909996509552
13,19a5cf45-d7c1-41c7-b7ed-6aaab511cc6d,1648530537.25425,1648531148.116,1648530537.5100002,1648531076.3980002,1648531076.418,1648531148.116,122307655,122307655,40.0,['6fbfec3e-9c22-4ff2-a004-2caadf94e8e8'],610.8617498874664,538.8880000114441,71.69799995422363,538.8880000114441
14,18459579-c028-4c92-bf04-139d03e31857,1648531779.640202,1648532844.788,1648531779.8990002,1648531791.279,1648531791.2910001,1648532844.788,0,0,566.0,['6477bc61-66f2-48a9-97a5-b782db18784a'],1065.1477980613708,11.379999876022339,1053.4969999790192,11.379999876022339
15,5c432e13-0639-43c1-879f-af93f1a702a2,1648531803.257149,1648532349.722,1648531803.6230001,1648531822.982,1648531822.9910002,1648532349.722,13232949,13232949,268.0,['40a67d7d-94e9-41a3-bfea-296fa0d21cfc'],546.4648509025574,19.358999967575073,526.7309997081757,19.358999967575073
16,13e939d7-2266-4121-a372-484226eb786e,1648531826.800571,1648532361.98,1648531827.1139998,1648531842.934,1648531842.944,1648532361.98,2786127,2786127,476.0,['54f733df-7003-4713-820e-9ed19ffaed68'],535.1794290542603,15.820000171661377,519.0360000133514,15.820000171661377
17,cc288c09-80ac-46cf-a6a4-1c9c5cb7a28f,1648531836.239975,1648532128.1929998,1648531836.481,1648531861.013,1648531861.023,1648532128.1929998,12455901,12455901,238.0,['6e973027-964f-4e2c-b3c6-381940ceaccd'],291.9530248641968,24.532000064849854,267.16999983787537,24.532000064849854
